timestamp,machine_id,power_kw
2025-03-10T13:00:00.000Z,CNC-07,0.598
2025-03-10T13:00:01.000Z,CNC-07,0.592
2025-03-10T13:00:02.000Z,CNC-07,0.739
2025-03-10T13:00:03.000Z,CNC-07,0.566
2025-03-10T13:00:04.000Z,CNC-07,0.639
2025-03-10T13:00:05.000Z,CNC-07,0.638
2025-03-10T13:00:06.000Z,CNC-07,0.602
2025-03-10T13:00:07.000Z,CNC-07,0.62
2025-03-10T13:00:08.000Z,CNC-07,0.53
2025-03-10T13:00:09.000Z,CNC-07,0.614
2025-03-10T13:00:10.000Z,CNC-07,0.586
2025-03-10T13:00:11.000Z,CNC-07,0.585
2025-03-10T13:00:12.000Z,CNC-07,0.667
2025-03-10T13:00:13.000Z,CNC-07,0.606
2025-03-10T13:00:14.000Z,CNC-07,0.57
2025-03-10T13:00:15.000Z,CNC-07,0.578
2025-03-10T13:00:16.000Z,CNC-07,0.45
2025-03-10T13:00:17.000Z,CNC-07,0.569
2025-03-10T13:00:18.000Z,CNC-07,0.694
2025-03-10T13:00:19.000Z,CNC-07,0.551
2025-03-10T13:00:20.000Z,CNC-07,0.576
2025-03-10T13:00:21.000Z,CNC-07,0.592
2025-03-10T13:00:22.000Z,CNC-07,0.437
2025-03-10T13:00:23.000Z,CNC-07,0.6
2025-03-10T13:00:24.000Z,CNC-07,0.474
2025-03-10T13:00:25.000Z,CNC-07,0.446
2025-03-10T13:00:26.000Z,CNC-07,0.587
2025-03-10T13:00:27.000Z,CNC-07,0.647
2025-03-10T13:00:28.000Z,CNC-07,0.665
2025-03-10T13:00:29.000Z,CNC-07,0.624
2025-03-10T13:00:30.000Z,CNC-07,0.582
2025-03-10T13:00:31.000Z,CNC-07,0.568
2025-03-10T13:00:32.000Z,CNC-07,0.47
2025-03-10T13:00:33.000Z,CNC-07,0.682
2025-03-10T13:00:34.000Z,CNC-07,0.499
2025-03-10T13:00:35.000Z,CNC-07,0.62
2025-03-10T13:00:36.000Z,CNC-07,0.65
2025-03-10T13:00:37.000Z,CNC-07,0.487
2025-03-10T13:00:38.000Z,CNC-07,0.689
2025-03-10T13:00:39.000Z,CNC-07,0.716
2025-03-10T13:00:40.000Z,CNC-07,0.634
2025-03-10T13:00:41.000Z,CNC-07,0.65
2025-03-10T13:00:42.000Z,CNC-07,0.521
2025-03-10T13:00:43.000Z,CNC-07,0.59
2025-03-10T13:00:44.000Z,CNC-07,0.612
2025-03-10T13:00:45.000Z,CNC-07,0.579
2025-03-10T13:00:46.000Z,CNC-07,0.707
2025-03-10T13:00:47.000Z,CNC-07,0.596
2025-03-10T13:00:48.000Z,CNC-07,0.521
2025-03-10T13:00:49.000Z,CNC-07,0.562
2025-03-10T13:00:50.000Z,CNC-07,0.604
2025-03-10T13:00:51.000Z,CNC-07,0.682
2025-03-10T13:00:52.000Z,CNC-07,0.578
2025-03-10T13:00:53.000Z,CNC-07,0.83
2025-03-10T13:00:54.000Z,CNC-07,0.644
2025-03-10T13:00:55.000Z,CNC-07,0.612
2025-03-10T13:00:56.000Z,CNC-07,0.726
2025-03-10T13:00:57.000Z,CNC-07,0.62
2025-03-10T13:00:58.000Z,CNC-07,0.663
2025-03-10T13:00:59.000Z,CNC-07,0.646
2025-03-10T13:01:00.000Z,CNC-07,0.654
2025-03-10T13:01:01.000Z,CNC-07,0.693
2025-03-10T13:01:02.000Z,CNC-07,0.565
2025-03-10T13:01:03.000Z,CNC-07,0.546
2025-03-10T13:01:04.000Z,CNC-07,0.706
2025-03-10T13:01:05.000Z,CNC-07,0.459
2025-03-10T13:01:06.000Z,CNC-07,0.663
2025-03-10T13:01:07.000Z,CNC-07,0.608
2025-03-10T13:01:08.000Z,CNC-07,0.61
2025-03-10T13:01:09.000Z,CNC-07,0.505
2025-03-10T13:01:10.000Z,CNC-07,0.62
2025-03-10T13:01:11.000Z,CNC-07,0.657
2025-03-10T13:01:12.000Z,CNC-07,0.54
2025-03-10T13:01:13.000Z,CNC-07,0.656
2025-03-10T13:01:14.000Z,CNC-07,0.665
2025-03-10T13:01:15.000Z,CNC-07,0.6
2025-03-10T13:01:16.000Z,CNC-07,0.667
2025-03-10T13:01:17.000Z,CNC-07,0.589
2025-03-10T13:01:18.000Z,CNC-07,0.518
